Sample No,Year Ref,Collection Date,Layer,Spit,Column,Position,Notes,Possibly anthropogenically worked stuff ,Possibly anthropogenically worked stuff Description,Minimum Number of Species (MNS),Small shells still to be indentified,Chiton,Ancilla lineolata (A Adams 1853) MNI,Ancilla lineolata (A Adams 1853),Cerithium caeruleum (Sowerby 1855) MNI,Cerithium caeruleum (Sowerby 1855),Cerithium caeruleum (Sowerby 1855) Height,Chicoreus ramosus     (Linnaeus 1758) MNI,Chicoreus ramosus     (Linnaeus 1758),Chicoreus ramosus     (Linnaeus 1758) Height,Chicoreus Species MNI,Chicoreus Species,Conus ardisiaceus (Keiner 1845) MNI,Conus ardisiaceus (Keiner 1845) ,Conus ardisiaceus (Keiner 1845) Height,Conus arenatus aequipunctatus (Dautzenberg 1937) MNI,Conus arenatus aequipunctatus (Dautzenberg 1937),Conus arenatus aequipunctatus (Dautzenberg 1937) Height,Conus erythraeensis (Reeve 1843) MNI,Conus erythraeensis (Reeve 1843),Conus erythraeensis (Reeve 1843) Height,Conus generalis maldives (Hwass in Bruguière 1792) MNI,Conus generalis maldives (Hwass in Bruguière 1792),Conus namocanus (Hwass in Bruguière 1792) MNI,Conus namocanus (Hwass in Bruguière 1792),Conus namocanus (Hwass in Bruguière 1792) Height,Conus Species MNI,Conus Species,Juvenile Cypraea Species MNI,Juvenile Cypraea Species,Juvenile Cypraea Species Height,Cypraea caurica (Linnaeus 1758) also Erronea caurica quinquefasciata (Röding 1798) MNI,Cypraea caurica (Linnaeus 1758) also Erronea caurica quinquefasciata (Röding 1798),Cypraea caurica (Linnaeus 1758) also Erronea caurica quinquefasciata (Röding 1798) Height,Cyprea turdus (Lamarck 1810) MNI,Cyprea turdus (Lamarck 1810),Cyprea turdus (Lamarck 1810) Length,Cyprea turdus (Lamarck 1810) Width,Cypraea Species MNI,Cypraea Species,Cypraea Species Height,Diacavolinia flexipes (Van der Spoel 1993) MNI,Diacavolinia flexipes (Van der Spoel 1993),Diodora Species MNI,Diodora Species,Dolomena plicata (Röding 1798) MNI,Dolomena plicata (Röding 1798),Ergalatax Species MNI,Ergalatax Species,Haminoea pemphis (Philippi 1847) MNI,Haminoea pemphis (Philippi 1847),Hemitoma panhi (Quoy & Gaimardi 1834) MNI,Hemitoma panhi (Quoy & Gaimardi 1834) ,Mitra fasciolaris (Deshayes in Laborde 1834) MNI,Mitra fasciolaris (Deshayes in Laborde 1834),Mitra fasciolaris (Deshayes in Laborde 1834) Height,Nassarius (Nassarius)  arcularia plicatus   (Röding 1778) MNI,Nassarius (Nassarius)  arcularia plicatus   (Röding 1778),Nassarius (Nassarius)  arcularia plicatus   (Röding 1778) Height,Nassarius Species,Nerita albicilla (Linnaeus 1758) MNI,Nerita albicilla (Linnaeus 1758),Nerita albicilla (Linnaeus 1758) Length,Nerita albicilla (Linnaeus 1758) Width,Nerita longii (Récluz 1841) MNI,Nerita longii (Récluz 1841),Nerita longii (Récluz 1841) Length,Nerita longii (Récluz 1841) Width,Nerita polita orbignyana       (Récluz 1841) MNI,Nerita polita orbignyana       (Récluz 1841),Nerita polita orbignyana       (Récluz 1841) Length,Nerita polita orbignyana       (Récluz 1841) Width,Nerita sanguinolenta (Menke 1829) MNI,Nerita sanguinolenta (Menke 1829),Nerita sanguinolenta (Menke 1829) Length,Nerita sanguinolenta (Menke 1829) Width,Nerita sanguinolenta (Menke 1829) Height,Nerita textiles (Gmelin 1791) MNI,Nerita textiles (Gmelin 1791),Nerita textiles (Gmelin 1791) Length,Nerita textiles (Gmelin 1791) Width,Nerita Species MNI,Nerita Species,Ocinebrina Species MNI,Ocinebrina Species,Ocinebrina Species Height,Prunum terverianum (Petit 1851) MNI,Prunum terverianum (Petit 1851),Rapana rapiformis (Born 1778) MNI,Rapana rapiformis (Born 1778),Rapana rapiformis (Born 1778) Height,Rapana Species,Stomatellinae Species MNI,Stomatellinae Species,Strombus erythrinus (Dillwyn 1817) also Canarium erythrinum (Dillwyn 1817) MNI,Strombus erythrinus (Dillwyn 1817) also Canarium erythrinum (Dillwyn 1817),Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Strombus mutabilis (Swainson 1821) also Canarium mutabile (Swainson 1821) MNI,Strombus mutabilis (Swainson 1821) also Canarium mutabile (Swainson 1821),Strombus mutabilis (Swainson 1821) also Canarium mutabile (Swainson 1821) Height,Strombus tricornis (Lightfoot 1786) MNI,Strombus tricornis (Lightfoot 1786),Strombus Species MNI,Strombus Species,Trochus dentatus (Forskål 1775) also Tectus dentatus (Forskål 1775) Knobbed Top Shell MNI,Trochus dentatus (Forskål 1775) also Tectus dentatus (Forskål 1775) Knobbed Top Shell,Trochus erithreus (Brocchi 1821) MNI,Trochus erithreus (Brocchi 1821),Volema paradisiaca nodosa(Lamarck 1822) MNI,Volema paradisiaca nodosa(Lamarck 1822),Volema paradisiaca nodosa(Lamarck 1822) Height,Volema Species,Unidentified Gastropod (1)MNI,Unidentified Gastropod (1),Unidentified Gastropod (1) Height,Unidentified Gastropod (2) MNI,Unidentified Gastropod (2),Operculum,Acrosterigma maculosum (W Wood 1815),Amygdalum watsoni (Smith 1885) Left MNI,Amygdalum watsoni (Smith 1885) Right MNI,Amygdalum watsoni (Smith 1885),Arca avellana (Lamarck 1819) Left MNI,Arca avellana (Lamarck 1819) Right MNI,Arca avellana (Lamarck 1819),Arca avellana (Lamarck 1819) Left Hinge,Arca avellana (Lamarck 1819) Right Hinge,Arca ventricosa (Lamarck 1819) Left MNI,Arca ventricosa (Lamarck 1819) Right MNI,Arca ventricosa (Lamarck 1819),Arca ventricosa (Lamarck 1819) Left Hinge,Arca ventricosa (Lamarck 1819) Right Hinge,Arca Species,Beguina gubernaculum (Reeve 1843) Left MNI,Beguina gubernaculum (Reeve 1843) Right MNI,Beguina gubernaculum (Reeve 1843),Beguina gubernaculum (Reeve 1843) Left Length,Beguina gubernaculum (Reeve 1843) Left Width,Beguina gubernaculum (Reeve 1843) Right Length,Beguina gubernaculum (Reeve 1843) Right Width,Botula cinnamomea (Gmelin 1791) Left MNI,Botula cinnamomea (Gmelin 1791) Right MNI,Botula cinnamomea (Gmelin 1791),Botula cinnamomea (Gmelin 1791) Left Length,Botula cinnamomea (Gmelin 1791) Left Width,Botula cinnamomea (Gmelin 1791) Right Length,Botula cinnamomea (Gmelin 1791) Right Width,Brachidontes variabilis(Krauss 1848),Chama asperella (Lamarck 1819) Lower MNI,Chama asperella (Lamarck 1819) Upper MNI,Chama asperella (Lamarck 1819),Chama asperella (Lamarck 1819) Lower Length,Chama asperella (Lamarck 1819) Lower Width,Chama asperella (Lamarck 1819) Upper Length,Chama asperella (Lamarck 1819) Upper Width,Chama aspersa (Reeve 1846) Lower MNI,Chama aspersa (Reeve 1846) Upper MNI,Chama aspersa (Reeve 1846),Chama aspersa (Reeve 1846) Lower Hinge,Chama aspersa (Reeve 1846) Upper Hinge,Chama limbula (Lamarck 1819) Lower MNI,Chama limbula (Lamarck 1819) Upper MNI,Chama limbula (Lamarck 1819),Chama reflexa (Reeve 1846) Upper MNI,Chama reflexa (Reeve 1846) Lower MNI,Chama reflexa (Reeve 1846),Chama reflexa (Reeve 1846) Upper Hinge,Chama reflexa (Reeve 1846) Lower Hinge,Chama Species Upper MNI,Chama Species Lower MNI,Chama Species,Dendrostrea Species,Fragum nivale (Reeve 1845) Left MNI,Fragum nivale (Reeve 1845) Right MNI,Fragum nivale (Reeve 1845) ,Gafrarium pectinatum (Linnaeus 1758) Left MNI,Gafrarium pectinatum (Linnaeus 1758) Right MNI,Gafrarium pectinatum (Linnaeus 1758),Irus macrophylla (Deshayes 1853) Left MNI,Irus macrophylla (Deshayes 1853) Right MNI,Irus macrophylla (Deshayes 1853),Isognomon Species Left MNI,Isognomon Species Right MNI,Isognomon Species,Modiolus auriculatus (Krauss 1848) Left MNI,Modiolus auriculatus (Krauss 1848) Right MNI,Modiolus auriculatus (Krauss 1848),Modiolus auriculatus (Krauss 1848) Left Length,Modiolus auriculatus (Krauss 1848) Left Width,Modiolus auriculatus (Krauss 1848) Right Length,Modiolus auriculatus (Krauss 1848) Right Width,Modiolus ligneus (Reeve 1858) Left MNI,Modiolus ligneus (Reeve 1858) Right MNI,Modiolus ligneus (Reeve 1858),Modiolus Species,Mytilus Species Left MNI,Mytilus Species Right MNI,Mytilus Species,Mytilus Species Left Length,Mytilus Species Left Width,Mytilus Species Right Length,Mytilus Species Right Width,Ostrea Species,Pinctada Species Left MNI,Pinctada Species Right MNI,Pinctada Species,Pinctada Species Left Hinge,Pinctada Species Right Hinge,Plicatula plicata (Linnaeus 1767) Lower MNI,Plicatula plicata (Linnaeus 1767) Upper MNI,Plicatula plicata (Linnaeus 1767),Plicatula plicata (Linnaeus 1767) Lower Length,Plicatula plicata (Linnaeus 1767) Lower Width,Plicatula plicata (Linnaeus 1767) Upper Length,Plicatula plicata (Linnaeus 1767) Upper Width,Septifer forskali (Dunker 1855),Spondylus Species,Tapes deshayesii (Sowerby 1852) Left MNI,Tapes deshayesii (Sowerby 1852) Right MNI,Tapes deshayesii (Sowerby 1852),Tapes deshayesii (Sowerby 1852) Left Length,Tapes deshayesii (Sowerby 1852) Left Width,Tapes deshayesii (Sowerby 1852) Right Length,Tapes deshayesii (Sowerby 1852) Right Width,Vulsella fornicata (Forskå1 1775) Left MNI,Vulsella fornicata (Forskå1 1775) Right MNI,Vulsella fornicata (Forskå1 1775),Vulsella Species MNI Left,Vulsella Species,Unidentified Bivalve (1),Unidentified Shell Fragments,Burnt Shell,Barnacle,Bone,Calcite,Calcite Angels,Charcoal,Coral,Crab,Encrustation Fragments,Fishbone,Pearl,Pearl,Sea Urchin,Stone/Breccia,Strange Brown Stuff,Worm,Unsorted Residue,Rough Sorted Residue,Sorted Residue,Unsorted Residue left in Saudi 1mm,Shell/Other material left in Saudi ,York Sample ,Total Sample Weight,Sample Number,SHELLWEIGHT
2956,F13,,1,1/7,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,64,2151.5,18.85,,,,1,63.5,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1134,,,,,3359.5,3359.5,2956,2224.5
2957,F13,,1,2/7,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,2012.5,19.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,,,,,2905.5,2905.5,2957,2018.5
2958,F13,,1,3/7,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,203,2301.5,18.29,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,0.5,,,,,,,1178.5,,,,,3493,3493,2958,2314.5
2959,F13,,1,4/7,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1594.5,22.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,,,,,2403,2403,2959,1595
2960,F13,,1,5/7,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,2084.5,21.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,5,,,,,,,,1016.5,,,,,3118.5,3118.5,2960,2092
2961,F13,,1,6/7,,,,,,3,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,2581,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.5,,,,,,,,,,,,,,,,1525,,,,,4108,4108,2961,2583
2962,F13,,1,7/7,,,,,,6,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1873,20.33,,,,,36.5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1224.5,,,,,3150,3150,2962,1924
2963,F13,,2,1/2,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,1959,23.54,,,,,3.5,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,1,,,424.5,,,,,2404.5,2404.5,2963,1967.5
2964,F13,,2,2/2,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,2103.5,20.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,1,,,,,,,,2466,2466,2964,2105.5
2965,F13,,3,1/4,,,,,,7,,,,,,2.5,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2140,20.51,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,7,26.9,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,33.5,,,748,,,,,2995.5,2995.5,2965,2213
2966,F13,,3,2/4,,,,,,7,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,1724,20.22,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,13.5,27.26,24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,14.5,,,,,263.5,,1,579.5,,,,,2639.5,2639.5,2966,1781
2967,F13,,3,3/4,,,,,,7,,,,,,,,,,,,90,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,1899,19.72,,,,,35.5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,14,,,,,,,,535,,,,,2588.5,2588.5,2967,2031.5
2968,F13,,3,4/4,,,,,,7,,,,,,,,,,,,3.5,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1570,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,5.5,,,,,,,,8.5,,,,,,,,607,,,,,2211,2211,2968,1595.5
2969,F13,,4,1/2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,87,2729,21.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,12,,,,,41.4,,,1272,,,,,4073,4073,2969,2747.5
2970,F13,,4,2/2,,,,,,5,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1894.5,20.2,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,,4,,,,,,,,1117,,,,,3045,3045,2970,1922
2971,F13,,5,1/5,,,,,,7,,,,,,,,,,,,4,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,2148,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,11,,,,,8.5,,,582.5,,,,,2775.5,2775.5,2971,2173
